run_id,structure_id,position_group,manual_group,is_extra_tail_group,x_m,y_m,position_received_packets,position_expected_packets_from_fcnt,position_missing_packets_from_fcnt,position_duplicate_fcnt_packets,position_fcnt_min,position_fcnt_max,position_packet_delivery_rate,position_packet_loss_rate,position_data_loss_rate
2026-06-25_R1352_01,R1352,10,10,False,124.72399999999999,0.6999999999999997,11,15,4,0,981,995,0.7333333333333333,0.26666666666666666,0.26666666666666666
2026-06-25_R1352_01,R1352,11,11,False,138.35999999999999,0.6999999999999997,2,2,0,0,1004,1005,1.0,0.0,0.0
2026-06-25_R1352_01,R1352,12,12,False,161.99599999999998,0.6999999999999997,8,9,1,0,1006,1014,0.8888888888888888,0.1111111111111111,0.1111111111111111
2026-06-25_R1354_01,R1354,1,1,False,2.0,2.9,9,9,0,0,58,66,1.0,0.0,0.0
2026-06-25_R1354_01,R1354,2,2,False,15.636,2.9,13,13,0,0,67,79,1.0,0.0,0.0
2026-06-25_R1354_01,R1354,3,3,False,29.272,2.9,10,10,0,0,80,89,1.0,0.0,0.0
2026-06-25_R1354_01,R1354,4,4,False,42.908,2.9,10,10,0,0,90,99,1.0,0.0,0.0
2026-06-25_R1354_01,R1354,5,5,False,56.544,2.9,9,9,0,0,100,108,1.0,0.0,0.0
2026-06-25_R1354_01,R1354,6,6,False,70.17999999999999,2.9,10,10,0,0,109,118,1.0,0.0,0.0
2026-06-25_R1354_01,R1354,7,7,False,83.816,2.9,10,10,0,0,119,128,1.0,0.0,0.0
2026-06-25_R1354_01,R1354,8,8,False,97.452,2.9,9,10,1,0,129,138,0.9,0.1,0.1
2026-06-25_R1354_01,R1354,9,9,False,111.088,2.9,10,10,0,0,139,148,1.0,0.0,0.0
2026-06-25_R1354_01,R1354,10,10,False,124.72399999999999,2.9,9,10,1,0,149,158,0.9,0.1,0.1
2026-06-25_R1354_01,R1354,11,11,False,138.35999999999999,2.9,8,9,1,0,159,167,0.8888888888888888,0.1111111111111111,0.1111111111111111
2026-06-25_R1356_01,R1356,1,1,False,2.0,5.1,16,16,0,0,183,198,1.0,0.0,0.0
2026-06-25_R1356_01,R1356,2,2,False,15.636,5.1,10,10,0,0,199,208,1.0,0.0,0.0
2026-06-25_R1356_01,R1356,3,3,False,29.272,5.1,8,8,0,0,209,216,1.0,0.0,0.0
2026-06-25_R1356_01,R1356,4,4,False,42.908,5.1,8,8,0,0,217,224,1.0,0.0,0.0
2026-06-25_R1356_01,R1356,5,5,False,56.544,5.1,9,9,0,0,225,233,1.0,0.0,0.0
2026-06-25_R1356_01,R1356,6,6,False,70.17999999999999,5.1,9,9,0,0,234,242,1.0,0.0,0.0
2026-06-25_R1356_01,R1356,7,7,False,83.816,5.1,10,10,0,0,243,252,1.0,0.0,0.0
2026-06-25_R1356_01,R1356,8,8,False,97.452,5.1,11,11,0,0,253,263,1.0,0.0,0.0
2026-06-25_R1356_01,R1356,9,9,False,111.088,5.1,7,7,0,0,264,270,1.0,0.0,0.0
2026-06-25_R1356_01,R1356,10,10,False,124.72399999999999,5.1,5,6,1,0,271,276,0.8333333333333334,0.16666666666666666,0.16666666666666666
2026-06-25_R1356_01,R1356,11,11,False,138.35999999999999,5.1,8,8,0,0,277,284,1.0,0.0,0.0
2026-06-25_R1356_01,R1356,12,12,False,161.99599999999998,5.1,5,5,0,0,285,289,1.0,0.0,0.0
2026-06-25_R1356_01,R1356,7,13,True,83.816,5.1,18,307,289,0,2,308,0.05863192182410423,0.9413680781758957,0.9413680781758957
2026-06-25_R1358_01,R1358,1,1,False,2.0,7.300000000000001,11,11,0,0,1018,1028,1.0,0.0,0.0
2026-06-25_R1358_01,R1358,2,2,False,15.636,7.300000000000001,11,11,0,0,1029,1039,1.0,0.0,0.0
2026-06-25_R1358_01,R1358,3,3,False,29.272,7.300000000000001,11,11,0,0,1040,1050,1.0,0.0,0.0
2026-06-25_R1358_01,R1358,4,4,False,42.908,7.300000000000001,14,14,0,0,1051,1064,1.0,0.0,0.0
2026-06-25_R1358_01,R1358,5,5,False,56.544,7.300000000000001,8,8,0,0,1065,1072,1.0,0.0,0.0
2026-06-25_R1358_01,R1358,6,6,False,70.17999999999999,7.300000000000001,15,15,0,0,1073,1087,1.0,0.0,0.0
2026-06-25_R1358_01,R1358,7,7,False,83.816,7.300000000000001,10,10,0,0,1088,1097,1.0,0.0,0.0
2026-06-25_R1358_01,R1358,8,8,False,97.452,7.300000000000001,13,1105,1092,0,6,1110,0.011764705882352941,0.9882352941176471,0.9882352941176471
2026-06-25_R1358_01,R1358,9,9,False,111.088,7.300000000000001,10,10,0,0,1111,1120,1.0,0.0,0.0
2026-06-25_R1358_01,R1358,10,10,False,124.72399999999999,7.300000000000001,8,10,2,0,1121,1130,0.8,0.2,0.2
2026-06-25_R1358_01,R1358,11,11,False,138.35999999999999,7.300000000000001,6,9,3,0,1136,1144,0.6666666666666666,0.3333333333333333,0.3333333333333333
2026-06-25_R1358_01,R1358,12,12,False,161.99599999999998,7.300000000000001,6,8,2,0,1146,1153,0.75,0.25,0.25
2026-06-25_R1358_01,R1358,7,13,True,83.816,7.300000000000001,48,48,0,0,1158,1205,1.0,0.0,0.0
2026-06-25_R1360_01,R1360,1,1,False,2.0,9.5,9,9,0,0,1363,1371,1.0,0.0,0.0
2026-06-25_R1360_01,R1360,2,2,False,15.636,9.5,12,12,0,0,1372,1383,1.0,0.0,0.0
2026-06-25_R1360_01,R1360,3,3,False,29.272,9.5,9,9,0,0,1384,1392,1.0,0.0,0.0
2026-06-25_R1360_01,R1360,4,4,False,42.908,9.5,10,10,0,0,1393,1402,1.0,0.0,0.0
2026-06-25_R1360_01,R1360,5,5,False,56.544,9.5,10,10,0,0,1403,1412,1.0,0.0,0.0
2026-06-25_R1360_01,R1360,6,6,False,70.17999999999999,9.5,9,9,0,0,1413,1421,1.0,0.0,0.0
2026-06-25_R1360_01,R1360,7,7,False,83.816,9.5,11,11,0,0,1422,1432,1.0,0.0,0.0
2026-06-25_R1360_01,R1360,8,8,False,97.452,9.5,11,11,0,0,1433,1443,1.0,0.0,0.0
2026-06-25_R1360_01,R1360,9,9,False,111.088,9.5,11,11,0,0,1444,1454,1.0,0.0,0.0
2026-06-25_R1360_01,R1360,10,10,False,124.72399999999999,9.5,10,10,0,0,1455,1464,1.0,0.0,0.0
2026-06-25_R1360_01,R1360,11,11,False,138.35999999999999,9.5,7,9,2,0,1465,1473,0.7777777777777778,0.2222222222222222,0.2222222222222222
2026-06-25_R1360_01,R1360,12,12,False,161.99599999999998,9.5,10,17,7,0,1474,1490,0.5882352941176471,0.4117647058823529,0.4117647058823529
2026-06-25_R1360_01,R1360,7,13,True,83.816,9.5,71,1555,1484,0,8,1562,0.04565916398713826,0.9543408360128617,0.9543408360128617
2026-06-29_R1181_01,R1181,1,1,False,-2.0,5.5,32,35,3,0,1943,1977,0.9142857142857143,0.08571428571428572,0.08571428571428572
2026-06-29_R1181_01,R1181,2,2,False,-15.636,5.5,20,29,9,0,1959,1987,0.6896551724137931,0.3103448275862069,0.3103448275862069
2026-06-29_R1181_01,R1181,3,3,False,-29.272,5.5,24,31,7,0,1969,1999,0.7741935483870968,0.22580645161290322,0.22580645161290322
2026-06-29_R1181_01,R1181,4,4,False,-42.908,5.5,29,35,6,3,1981,2015,0.8285714285714286,0.17142857142857143,0.17142857142857143
2026-06-29_R1181_01,R1181,5,5,False,-56.544,5.5,23,34,11,1,1994,2027,0.6764705882352942,0.3235294117647059,0.3235294117647059
2026-06-29_R1181_01,R1181,6,6,False,-70.17999999999999,5.5,26,36,10,0,2005,2040,0.7222222222222222,0.2777777777777778,0.2777777777777778
2026-06-29_R1181_01,R1181,7,7,False,-83.816,5.5,79,79,0,33,2018,2096,1.0,0.0,0.0
2026-06-29_R1181_01,R1181,8,8,False,-97.452,5.5,28,38,10,0,2073,2110,0.7368421052631579,0.2631578947368421,0.2631578947368421
2026-06-29_R1181_01,R1181,9,9,False,-111.088,5.5,30,39,9,0,2087,2125,0.7692307692307693,0.23076923076923078,0.23076923076923078
2026-06-29_R1181_01,R1181,10,10,False,-124.72399999999999,5.5,42,45,3,0,2102,2146,0.9333333333333333,0.06666666666666667,0.06666666666666667
2026-06-29_R1181_01,R1181,11,11,False,-138.35999999999999,5.5,16,32,16,0,2123,2154,0.5,0.5,0.5
2026-06-29_R1181_01,R1181,12,12,False,-161.99599999999998,5.5,19,33,14,2,2132,2164,0.5757575757575758,0.42424242424242425,0.42424242424242425
2026-06-29_R1191_01,R1191,1,1,False,-2.0,-5.5,13,13,0,11,457,469,1.0,0.0,0.0
2026-06-29_R1191_01,R1191,2,2,False,-15.636,-5.5,13,13,0,11,469,481,1.0,0.0,0.0
2026-06-29_R1191_01,R1191,3,3,False,-29.272,-5.5,15,15,0,13,481,495,1.0,0.0,0.0
2026-06-29_R1191_01,R1191,4,4,False,-42.908,-5.5,16,16,0,14,495,510,1.0,0.0,0.0
2026-06-29_R1191_01,R1191,5,5,False,-56.544,-5.5,13,13,0,11,510,522,1.0,0.0,0.0
2026-06-29_R1191_01,R1191,6,6,False,-70.17999999999999,-5.5,14,14,0,13,522,535,1.0,0.0,0.0
2026-06-29_R1191_01,R1191,7,7,False,-83.816,-5.5,48,48,0,45,535,582,1.0,0.0,0.0
2026-06-29_R1191_01,R1191,8,8,False,-97.452,-5.5,20,20,0,10,578,597,1.0,0.0,0.0
2026-06-29_R1191_01,R1191,9,9,False,-111.088,-5.5,17,17,0,7,593,609,1.0,0.0,0.0
2026-06-29_R1191_01,R1191,10,10,False,-124.72399999999999,-5.5,18,18,0,8,605,622,1.0,0.0,0.0
2026-06-29_R1191_01,R1191,11,11,False,-138.35999999999999,-5.5,22,22,0,12,618,639,1.0,0.0,0.0
2026-06-29_R1191_01,R1191,12,12,False,-161.99599999999998,-5.5,18,18,0,6,634,651,1.0,0.0,0.0
2026-06-29_R1197_01,R1197,1,1,False,-2.0,-12.100000000000001,21,21,0,1,986,1006,1.0,0.0,0.0
2026-06-29_R1197_01,R1197,2,2,False,-15.636,-12.100000000000001,21,21,0,1,997,1017,1.0,0.0,0.0
2026-06-29_R1197_01,R1197,3,3,False,-29.272,-12.100000000000001,23,23,0,4,1008,1030,1.0,0.0,0.0
2026-06-29_R1197_01,R1197,4,4,False,-42.908,-12.100000000000001,15,17,2,0,1022,1038,0.8823529411764706,0.11764705882352941,0.11764705882352941
2026-06-29_R1197_01,R1197,5,5,False,-56.544,-12.100000000000001,20,20,0,0,1029,1048,1.0,0.0,0.0
2026-06-29_R1197_01,R1197,6,6,False,-70.17999999999999,-12.100000000000001,28,28,0,8,1039,1066,1.0,0.0,0.0
2026-06-29_R1197_01,R1197,7,7,False,-83.816,-12.100000000000001,36,36,0,16,1057,1092,1.0,0.0,0.0
2026-06-29_R1197_01,R1197,8,8,False,-97.452,-12.100000000000001,16,18,2,0,1083,1100,0.8888888888888888,0.1111111111111111,0.1111111111111111
2026-06-29_R1197_01,R1197,9,9,False,-111.088,-12.100000000000001,19,20,1,3,1092,1111,0.95,0.05,0.05
2026-06-29_R1197_01,R1197,10,10,False,-124.72399999999999,-12.100000000000001,19,19,0,1,1103,1121,1.0,0.0,0.0
2026-06-29_R1197_01,R1197,11,11,False,-138.35999999999999,-12.100000000000001,23,23,0,5,1113,1135,1.0,0.0,0.0
